name,city,state,address,category
ABC LITTLE SCHOOL,STUDIO CITY,CA,11728 MOORPARK ST,
ABC LITTLE SCHOOLS - WEST HOLLYWOOD,WEST HOLLYWOOD,CA,927 N FAIRFAX AVE,
ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,MCDONOUGH,GA,483 WALKER DR,
ABC OF NC CHILD DEVELOPMENT CENTER,WINSTON SALEM,NC,905 FRIEDBERG CHURCH RD,
ABC PLAYHOUSE,TORRANCE,CA,18213 PRAIRIE AVE,
ABC SCHOOL,SACRAMENTO,CA,4540 HARLIN DR,
"ABC'S OF LEARNING",TOWACO,NJ,74 JACKSONVILLE RD,
"ABC'S OF LEARNING AND GROWING INC",FORT LAUDERDALE,FL,7720 KIMBERLY BLVD,
ABCD DAYCARE CENTER,COEUR D ALENE,ID,1124 N C ST,
ARBOR BAY SCHOOL,SAN CARLOS,CA,1017 CEDAR ST,
ARBOR MONTISORRI SCHOOL,DECATUR,GA,2998 LAVISTA RD,
ABELS ACADEMY,CLERMONT,FL,355 CITRUS TOWER BLVD STE 116,
ARBOR SCHOOL OF ARTS & SCIENCES,TUALATIN,OR,4201 SW BORLAND RD,
ABERCROMBIE ACADEMY,SPRING,TX,17102 THEISS MAIL ROUTE RD,
ABERDEEN CATHOLIC SCHOOLS,ABERDEEN,SD,419 1ST AVE NE,
ARBOR SCHOOL OF CENTA,WINTER SPRINGS,FL,1010 SPRING VILLAS PT,
ARBOR SCHOOLS,SAMMAMISH,WA,1107 228TH AVE SE,
"ABERDEEN CHRISTIAN SCHOOL, INC",ABERDEEN,SD,1500 N HWY 281,
ARBOR VIEW MONTESSORI,ROSEVILLE,CA,7441 FOOTHILLS BLVD # 140,
ARBORBROOK CHRISTIAN ACADEMY,MATTHEWS,NC,4823 WAXHAW INDIAN TRL RD,
ARBORCREEK MONTESSORI SCHOOL,FARMERS BRANCH,TX,2713 COOKSCREEK PL,
ABF LEARNING CENTER,HOMESTEAD,FL,12767 SW 280TH ST,
ABI CHRISTIAN ACADEMY,SAINT PAUL,MN,6944 HUDSON BLVD N,
ABIDING HOPE PRESCHOOL,LITTLETON,CO,6337 S ROBB WAY,
ABIDING PEACE ACADEMY,SIMPSONVILLE,SC,401 BATESVILLE RD,
ABIDING SAVIOR ACADEMY,SIOUX FALLS,SD,4100 S BAHNSON AVE,
