federal_offense,misdemeanor,total,detained_or_awaiting_trial,felony,snapshot_date,id,source_url,source_url1
0.0,7.0,50.0,37,6,2020-05-01,9041,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
2.0,66.0,336.0,233,35,2020-05-01,9042,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,35,320,264,21,2021-05-01,8946,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
2,46,146,89,9,2021-05-01,8947,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
2,4,66,54,6,2021-05-01,8948,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,5,96,91,0,2021-05-01,8949,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
114,40,436,276,6,2021-05-01,8950,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,19,177,140,18,2021-05-01,8952,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,1,39,28,10,2021-05-01,8953,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
2,13,94,61,18,2021-05-01,8954,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
4,9,68,53,2,2021-05-01,8956,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,11,71,57,3,2021-05-01,8957,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,2,18,14,2,2021-05-01,8959,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,19,234,210,5,2021-05-01,8961,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1,2,35,24,8,2021-05-01,8962,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
3,22,115,82,8,2021-05-01,8963,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,6,59,48,5,2021-05-01,8964,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,11,63,52,0,2021-05-01,8965,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,32,195,161,2,2021-05-01,8966,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,15,151,128,8,2021-05-01,8967,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,2,26,21,3,2021-05-01,8967,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
14,6,75,46,9,2021-05-01,8968,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
4,40,131,61,26,2021-05-01,8969,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,41,147,85,21,2021-05-01,8970,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,13,84,52,19,2021-05-01,8972,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,3,49,46,0,2021-05-01,8975,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,68,226,154,4,2021-05-01,8976,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,8,85,60,17,2021-05-01,8978,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,5,85,65,15,2021-05-01,8979,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,8,114,98,8,2021-05-01,8980,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,68,192,124,0,2021-05-01,8981,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
