property_id,sale_date,sale_price,book,page,physical_address,property_type,county,state,source_url
963262035600,2001-11-15 00:00:00,1,762,720,3200.0 WINDMERE DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965132798600,2001-11-15 00:00:00,1,762,666,3512.0 CEMETERY RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963261269100,2001-11-15 00:00:00,3,762,648,904.0 GOINS DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962321452700,2001-11-15 00:00:00,3,762,606,207.0 SUGAR MILL RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
955919386400,2001-11-14 00:00:00,3,763,26,1566.0 SHERIFF WATSON RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962596578500,2001-11-14 00:00:00,0,762,572,74.0 ZIMMERMAN RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961035984400,2001-11-13 00:00:00,0,772,696,0.0 BLACKSTONE RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964350674800,2001-11-13 00:00:00,3,770,945,214.0 GREEN ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967311929200,2001-11-13 00:00:00,1,765,718,960.0 WOMACK LAKE CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
955824170400,2001-11-13 00:00:00,0,762,421,172.0 JOHN GODFREY RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963261023700,2001-11-13 00:00:00,0,762,419,916.0 GOINS DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961178071000,2001-11-12 00:00:00,4,769,35,82.0 WATERVIEW LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966168414700,2001-11-12 00:00:00,0,763,641,1909.0 HOPE ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
953965188400,2001-11-12 00:00:00,8,762,966,61.0 WILDLIFE RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965085248800,2001-11-09 00:00:00,1,762,452,5413.0 BRIDLE PATH,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965085262500,2001-11-09 00:00:00,1,762,452,0.0 BRIDLE PATH,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966444197000,2001-11-09 00:00:00,0,762,350,2207.0 LOWER MONCURE RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964288276200,2001-11-09 00:00:00,2,761,983,413.0 CHATHAM ST,COMM BLDG,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964288360500,2001-11-09 00:00:00,2,761,983,0.0 CHATHAM ST,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964288356900,2001-11-09 00:00:00,2,761,983,0.0 CHATHAM ST,COMM LAND,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
955883951400,2001-11-09 00:00:00,1,761,981,5320.0 OLIVIA RD,MULTI-SFDS,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962345089200,2001-11-09 00:00:00,0,761,953,37.0 SALAMANDER CREEK LN,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967108736300,2001-11-09 00:00:00,0,761,936,2951.0 COX MILL RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963277105200,2001-11-09 00:00:00,1,761,868,2509.0 CASTLETON DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963457749400,2001-11-08 00:00:00,7,762,612,0.0 FOX RUN DR,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963458602300,2001-11-08 00:00:00,7,762,612,0.0 FOX RUN DR,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963457770400,2001-11-08 00:00:00,7,762,612,0.0 FOX RUN DR,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965242318000,2001-11-08 00:00:00,0,762,370,2205.0 LEE AVE,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
