name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
THE HULK COFFEE 40 OZ,SMOOTHIE KING,NATIONAL,1440,64,220,740,207,16,166,58
THE HULK STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,850,32,110,370,136,10,114,29
THE HULK STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,1270,48,165,550,204,15,171,43
THE HULK STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,1690,64,220,730,272,20,227,57
THE HULK VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,710,32,110,370,100,8,83,28
THE HULK VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,1060,48,165,550,151,12,124,42
THE HULK VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,1410,64,220,730,201,16,166,57
ANGEL FOOD SLIM 20 OZ,SMOOTHIE KING,NATIONAL,220,1,3,160,55,12,32,4
ANGEL FOOD SLIM 32 OZ,SMOOTHIE KING,NATIONAL,330,1,3,230,82,17,49,6
ANGEL FOOD SLIM 40 OZ,SMOOTHIE KING,NATIONAL,430,2,5,300,109,23,65,8
GREEK YOGURT PINEAPPLE MANGO 20 OZ,SMOOTHIE KING,NATIONAL,290,1,5,150,62,5,50,13
GREEK YOGURT PINEAPPLE MANGO 32 OZ,SMOOTHIE KING,NATIONAL,440,1,10,230,95,9,77,20
GREEK YOGURT PINEAPPLE MANGO 40 OZ,SMOOTHIE KING,NATIONAL,570,2,15,310,124,11,100,26
GREEK YOGURT STRAWBERRY BLUEBERRY 20 OZ,SMOOTHIE KING,NATIONAL,270,1,10,200,54,8,42,14
GREEK YOGURT STRAWBERRY BLUEBERRY 32 OZ,SMOOTHIE KING,NATIONAL,410,1,10,300,80,11,63,21
GREEK YOGURT STRAWBERRY BLUEBERRY 40 OZ,SMOOTHIE KING,NATIONAL,540,1,15,400,107,15,83,29
LEAN1 CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,250,11,20,390,28,13,8,20
LEAN1 CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,380,17,30,590,43,19,12,29
LEAN1 CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,490,22,35,790,57,26,16,39
LEAN1 PINEAPPLE MANGO 20 OZ,SMOOTHIE KING,NATIONAL,290,5,30,330,47,10,33,19
LEAN1 PINEAPPLE MANGO 32 OZ,SMOOTHIE KING,NATIONAL,450,8,40,490,73,15,51,29
LEAN1 PINEAPPLE MANGO 40 OZ,SMOOTHIE KING,NATIONAL,590,11,55,650,95,19,67,39
LEAN1 STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,200,5,30,330,27,10,8,19
LEAN1 STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,290,8,40,490,40,15,12,28
LEAN1 STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,390,10,55,660,53,19,17,37
LEAN1 VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,240,10,30,320,22,9,8,21
LEAN1 VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,360,15,40,490,34,14,12,31
LEAN1 VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,480,19,55,650,45,18,16,41
METABOLISM BOOST MANGO GINGER 20 OZ,SMOOTHIE KING,NATIONAL,280,3,15,490,49,7,36,19
METABOLISM BOOST MANGO GINGER 32 OZ,SMOOTHIE KING,NATIONAL,430,5,20,730,77,10,56,28
METABOLISM BOOST MANGO GINGER 40 OZ,SMOOTHIE KING,NATIONAL,550,7,25,970,99,13,71,37
METABOLISM BOOST STRAWBERRY PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,280,3,15,480,51,7,35,18
METABOLISM BOOST STRAWBERRY PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,420,4,20,720,79,11,55,27
METABOLISM BOOST STRAWBERRY PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,550,6,25,950,101,15,71,36
SLIM N TRIM BLUEBERRY 20 OZ,SMOOTHIE KING,NATIONAL,250,2,10,250,51,4,37,11
SLIM N TRIM BLUEBERRY 32 OZ,SMOOTHIE KING,NATIONAL,370,3,15,370,76,6,55,17
SLIM N TRIM BLUEBERRY 40 OZ,SMOOTHIE KING,NATIONAL,490,4,20,490,101,8,73,22
SLIM N TRIM CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,220,2,15,470,36,6,21,20
SLIM N TRIM CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,320,4,25,700,54,9,31,30
SLIM N TRIM CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,430,5,30,930,72,12,41,40
SLIM N TRIM STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,150,2,15,360,26,7,12,14
SLIM N TRIM STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,230,3,20,540,39,10,17,21
SLIM N TRIM STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,300,5,30,710,52,13,23,28
SLIM N TRIM VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,180,2,15,360,34,6,16,14
SLIM N TRIM VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,280,4,20,530,52,9,24,21
SLIM N TRIM VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,370,5,30,710,69,12,33,28
SLIM N TRIM VEGGIE 20 OZ,SMOOTHIE KING,NATIONAL,240,2,10,280,46,8,29,15
SLIM N TRIM VEGGIE 32 OZ,SMOOTHIE KING,NATIONAL,360,4,15,420,69,12,44,22
SLIM N TRIM VEGGIE 40 OZ,SMOOTHIE KING,NATIONAL,480,5,20,560,91,16,58,29
THE SHREDDER CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,230,4,25,750,19,5,12,33
THE SHREDDER CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,320,5,35,1010,25,7,15,47
THE SHREDDER CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,410,7,45,1260,32,9,18,60
THE SHREDDER STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,310,2,20,470,46,16,32,28
THE SHREDDER STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,470,4,30,710,69,24,47,42
THE SHREDDER STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,620,5,40,940,92,31,63,56
THE SHREDDER VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,230,4,25,720,17,4,11,32
THE SHREDDER VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,340,6,40,1070,25,6,17,49
THE SHREDDER VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,450,8,50,1430,34,8,23,65
COFFEE D LITE MOCHA 20 OZ,SMOOTHIE KING,NATIONAL,350,5,25,320,61,1,55,15
COFFEE D LITE MOCHA 32 OZ,SMOOTHIE KING,NATIONAL,520,8,40,490,91,1,82,22
COFFEE D LITE MOCHA 40 OZ,SMOOTHIE KING,NATIONAL,690,10,50,620,121,1,109,29
COFFEE D LITE VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,270,5,25,390,44,1,40,11
COFFEE D LITE VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,410,8,40,580,66,1,60,16
COFFEE D LITE VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,540,11,50,770,88,2,80,22
LEMON TWIST BANANA 20 OZ,SMOOTHIE KING,NATIONAL,360,0,0,0,91,2,75,2
LEMON TWIST BANANA 32 OZ,SMOOTHIE KING,NATIONAL,540,0,0,5,137,3,113,3
LEMON TWIST BANANA 40 OZ,SMOOTHIE KING,NATIONAL,730,1,0,5,183,4,151,3
LEMON TWIST STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,390,0,0,0,97,2,87,1
LEMON TWIST STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,580,0,0,0,146,3,131,2
LEMON TWIST STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,770,0,0,5,195,4,174,2
DAILY WARRIOR 20 OZ,SMOOTHIE KING,NATIONAL,680,32,0,170,98,13,58,16
DAILY WARRIOR 32 OZ,SMOOTHIE KING,NATIONAL,1050,48,0,260,153,21,92,25
DAILY WARRIOR 40 OZ,SMOOTHIE KING,NATIONAL,1360,64,0,340,196,26,116,33
DAILY WARRIOR 20 OZ,SMOOTHIE KING,NATIONAL,680,32,0,170,98,13,58,16
DAILY WARRIOR 32 OZ,SMOOTHIE KING,NATIONAL,1050,48,0,260,153,21,92,25
DAILY WARRIOR 40 OZ,SMOOTHIE KING,NATIONAL,1360,64,0,340,196,26,116,33
DAILY WARRIOR 20 OZ,SMOOTHIE KING,NATIONAL,680,32,0,170,98,13,58,16
DAILY WARRIOR 32 OZ,SMOOTHIE KING,NATIONAL,1050,48,0,260,153,21,92,25
DAILY WARRIOR 40 OZ,SMOOTHIE KING,NATIONAL,1360,64,0,340,196,26,116,33
HYDRATION MANGO PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,230,0,0,270,63,3,50,2
HYDRATION MANGO PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,370,1,0,400,99,5,78,3
HYDRATION MANGO PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,470,1,0,540,126,7,99,4
HYDRATION MANGO PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,230,0,0,270,63,3,50,2
HYDRATION MANGO PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,370,1,0,400,99,5,78,3
HYDRATION MANGO PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,470,1,0,540,126,7,99,4
HYDRATION MANGO PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,230,0,0,270,63,3,50,2
HYDRATION MANGO PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,370,1,0,400,99,5,78,3
HYDRATION MANGO PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,470,1,0,540,126,7,99,4
HYDRATION WATERMELON 20 OZ,SMOOTHIE KING,NATIONAL,270,0,0,270,69,2,52,2
HYDRATION WATERMELON 32 OZ,SMOOTHIE KING,NATIONAL,400,0,0,410,104,3,77,3
HYDRATION WATERMELON 40 OZ,SMOOTHIE KING,NATIONAL,530,1,0,540,138,4,103,4
HYDRATION WATERMELON 20 OZ,SMOOTHIE KING,NATIONAL,270,0,0,270,69,2,52,2
HYDRATION WATERMELON 32 OZ,SMOOTHIE KING,NATIONAL,400,0,0,410,104,3,77,3
HYDRATION WATERMELON 40 OZ,SMOOTHIE KING,NATIONAL,530,1,0,540,138,4,103,4
HYDRATION WATERMELON 20 OZ,SMOOTHIE KING,NATIONAL,270,0,0,270,69,2,52,2
HYDRATION WATERMELON 32 OZ,SMOOTHIE KING,NATIONAL,400,0,0,410,104,3,77,3
HYDRATION WATERMELON 40 OZ,SMOOTHIE KING,NATIONAL,530,1,0,540,138,4,103,4
IMMUNE BUILDER MIXED BERRY 20 OZ,SMOOTHIE KING,NATIONAL,340,1,0,180,84,23,56,2
IMMUNE BUILDER MIXED BERRY 32 OZ,SMOOTHIE KING,NATIONAL,520,1,0,270,126,34,84,4
IMMUNE BUILDER MIXED BERRY 40 OZ,SMOOTHIE KING,NATIONAL,690,2,0,360,168,46,111,5
IMMUNE BUILDER MIXED BERRY 20 OZ,SMOOTHIE KING,NATIONAL,340,1,0,180,84,23,56,2
IMMUNE BUILDER MIXED BERRY 32 OZ,SMOOTHIE KING,NATIONAL,520,1,0,270,126,34,84,4
IMMUNE BUILDER MIXED BERRY 40 OZ,SMOOTHIE KING,NATIONAL,690,2,0,360,168,46,111,5
IMMUNE BUILDER MIXED BERRY 20 OZ,SMOOTHIE KING,NATIONAL,340,1,0,180,84,23,56,2
IMMUNE BUILDER MIXED BERRY 32 OZ,SMOOTHIE KING,NATIONAL,520,1,0,270,126,34,84,4
IMMUNE BUILDER MIXED BERRY 40 OZ,SMOOTHIE KING,NATIONAL,690,2,0,360,168,46,111,5
IMMUNE BUILDER VEGGIE SUPERFOOD 20 OZ,SMOOTHIE KING,NATIONAL,360,1,0,240,90,9,64,3
IMMUNE BUILDER VEGGIE SUPERFOOD 32 OZ,SMOOTHIE KING,NATIONAL,550,2,0,360,137,14,97,5
IMMUNE BUILDER VEGGIE SUPERFOOD 40 OZ,SMOOTHIE KING,NATIONAL,720,2,0,480,180,19,127,7
IMMUNE BUILDER VEGGIE SUPERFOOD 20 OZ,SMOOTHIE KING,NATIONAL,360,1,0,240,90,9,64,3
IMMUNE BUILDER VEGGIE SUPERFOOD 32 OZ,SMOOTHIE KING,NATIONAL,550,2,0,360,137,14,97,5
IMMUNE BUILDER VEGGIE SUPERFOOD 40 OZ,SMOOTHIE KING,NATIONAL,720,2,0,480,180,19,127,7
IMMUNE BUILDER VEGGIE SUPERFOOD 20 OZ,SMOOTHIE KING,NATIONAL,360,1,0,240,90,9,64,3
IMMUNE BUILDER VEGGIE SUPERFOOD 32 OZ,SMOOTHIE KING,NATIONAL,550,2,0,360,137,14,97,5
IMMUNE BUILDER VEGGIE SUPERFOOD 40 OZ,SMOOTHIE KING,NATIONAL,720,2,0,480,180,19,127,7
PURE RECHARGE MANGO STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,300,0,0,150,77,3,63,2
