zip5,county
33810,Polk
33811,Polk
33812,Polk
33813,Polk
33815,Polk
33820,Polk
33823,Polk
33827,Polk
33830,Polk
33831,Polk
33835,Polk
33836,Polk
33837,Polk
33838,Polk
33839,Polk
33840,Polk
33841,Polk
33843,Polk
33844,Polk
33845,Polk
33846,Polk
33847,Polk
33849,Polk
33850,Polk
33851,Polk
33853,Polk
33854,Polk
33855,Polk
33856,Polk
33858,Polk
33859,Polk
33860,Polk
33863,Polk
33867,Polk
33868,Polk
33877,Polk
33880,Polk
33881,Polk
33882,Polk
33883,Polk
33884,Polk
33885,Polk
33888,Polk
33896,Polk
33897,Polk
33898,Polk
34759,Polk
32007,Putnam
32112,Putnam
32131,Putnam
32138,Putnam
32139,Putnam
32140,Putnam
32147,Putnam
32148,Putnam
32149,Putnam
32157,Putnam
32177,Putnam
32178,Putnam
32181,Putnam
32185,Putnam
32187,Putnam
32189,Putnam
32193,Putnam
32640,Putnam
32666,Putnam
32530,Santa Rosa
32561,Santa Rosa
32562,Santa Rosa
32563,Santa Rosa
32565,Santa Rosa
32566,Santa Rosa
32570,Santa Rosa
32571,Santa Rosa
32572,Santa Rosa
32583,Santa Rosa
34223,Sarasota
34228,Sarasota
34229,Sarasota
34230,Sarasota
34231,Sarasota
34232,Sarasota
34233,Sarasota
34234,Sarasota
34235,Sarasota
34236,Sarasota
34237,Sarasota
34238,Sarasota
34239,Sarasota
34240,Sarasota
34241,Sarasota
34242,Sarasota
34249,Sarasota
34260,Sarasota
34272,Sarasota
34274,Sarasota
34275,Sarasota
34276,Sarasota
34277,Sarasota
34278,Sarasota
34284,Sarasota
34285,Sarasota
34286,Sarasota
34287,Sarasota
34288,Sarasota
34289,Sarasota
34290,Sarasota
34291,Sarasota
34292,Sarasota
34293,Sarasota
34295,Sarasota
32701,Seminole
32707,Seminole
32708,Seminole
32714,Seminole
32715,Seminole
32716,Seminole
32718,Seminole
32719,Seminole
32730,Seminole
32732,Seminole
32745,Seminole
32746,Seminole
32747,Seminole
32750,Seminole
32752,Seminole
32762,Seminole
32765,Seminole
32766,Seminole
32771,Seminole
32772,Seminole
32773,Seminole
32779,Seminole
32791,Seminole
32795,Seminole
32799,Seminole
32004,St. Johns
32033,St. Johns
32080,St. Johns
32081,St. Johns
32082,St. Johns
32084,St. Johns
32085,St. Johns
32086,St. Johns
32092,St. Johns
32095,St. Johns
32145,St. Johns
32259,St. Johns
34945,St. Lucie
34946,St. Lucie
34947,St. Lucie
34948,St. Lucie
34949,St. Lucie
34950,St. Lucie
34951,St. Lucie
34952,St. Lucie
34953,St. Lucie
34954,St. Lucie
34979,St. Lucie
34981,St. Lucie
34982,St. Lucie
34983,St. Lucie
34984,St. Lucie
34985,St. Lucie
34986,St. Lucie
34987,St. Lucie
34988,St. Lucie
32162,Sumter
32163,Sumter
33513,Sumter
33514,Sumter
33521,Sumter
33538,Sumter
33585,Sumter
33597,Sumter
34484,Sumter
34785,Sumter
32008,Suwannee
32060,Suwannee
32062,Suwannee
32064,Suwannee
32071,Suwannee
32094,Suwannee
32347,Taylor
32348,Taylor
32356,Taylor
32357,Taylor
32359,Taylor
32054,Union
32083,Union
32697,Union
32105,Volusia
32114,Volusia
32115,Volusia
32116,Volusia
32117,Volusia
32118,Volusia
32119,Volusia
32120,Volusia
32121,Volusia
32122,Volusia
32123,Volusia
32124,Volusia
32125,Volusia
32126,Volusia
32127,Volusia
32128,Volusia
32129,Volusia
32130,Volusia
32132,Volusia
32141,Volusia
32168,Volusia
32169,Volusia
32170,Volusia
32173,Volusia
32174,Volusia
32175,Volusia
32176,Volusia
32180,Volusia
32190,Volusia
32198,Volusia
32706,Volusia
32713,Volusia
32720,Volusia
32721,Volusia
32722,Volusia
32723,Volusia
32724,Volusia
32725,Volusia
32728,Volusia
32738,Volusia
32739,Volusia
32744,Volusia
32753,Volusia
32759,Volusia
32763,Volusia
32764,Volusia
32774,Volusia
32326,Wakulla
32327,Wakulla
32346,Wakulla
32355,Wakulla
32358,Wakulla
32422,Walton
32433,Walton
32434,Walton
32435,Walton
32439,Walton
32454,Walton
32455,Walton
32459,Walton
32461,Walton
32538,Walton
32550,Walton
32427,Washington
32428,Washington
32437,Washington
32462,Washington
32463,Washington
