LINCOLN MIDDLE SCHOOL,MT PROSPECT,IL,700 W LINCOLN ST,"http://ecusd7.org/lincoln/"
BRIDGEWATER ELEMENTARY SCHOOL,IDAHO FALLS,ID,1499 INDIAN HOLLOW DRIVE,"https://www.bridgewaterbulldogs.org/"
CVIT - SUPERIOR HIGH SCHOOL,SUPERIOR,AZ,100 MARY DRIVE,"https://www.cvit81.org/"
ORTEGA HIGH,LAKE ELSINORE,CA,520 CHANEY ST. BLDG. 100,"https://ohs.leusd.k12.ca.us/"
OPTIONS FOR YOUTH-BURBANK CHARTER,BURBANK,CA,1610 W. BURBANK BLVD.,"https://www.cde.ca.gov/schooldirectory/details?cdscode=19643371996099"
MONROE ELEMENTARY,MONROVIA,CA,402 W. COLORADO BLVD.,"https://www.monroe.k12.ca.us/"
WEST VIGO HIGH SCHOOL,WEST TERRE HAUTE,IN,4590 W SARAH MYERS DR,"https://web.vigoschools.org/wvhs/"
SOUTHWEST COMMUNITY CAMPUS SCHOOL,GRAND RAPIDS,MI,801 OAKLAND AVE SW,"https://www.grps.org/swcc"
SOUTHEAST MIDDLE,AUSTIN,TX,1111 W 6TH ST,"https://www.har.com/school/227901063/southeast-middle-school"
MILLER (ISAAC) ELEMENTARY,SANTA MARIA,CA,410 E. CAMINO COLEGIO,"https://mi-smbsd-ca.schoolloop.com/"
CASS MIDDLE SCHOOL,CARTERSVILLE,GA,195 FIRE TOWER RD NW,"https://www.bartow.k12.ga.us/o/cass-middle"
RUDOLPH ELEM LEARNING CENTER,CHICAGO,IL,110 N PAULINA ST,"https://www.rudolph.cps.edu/"
MERCER COUNTY SENIOR HIGH SCHOOL,HARRODSBURG,KY,1124 MOBERLY RD,"https://www.mercer.kyschools.us/"
