name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number
"BITTERROOT GYMNASTICS, INC.",CORPORATION,MT,216 COMMERCE ST.,MISSOULA,NULL,NULL,NULL,NULL,NULL,D140203
CRAZY MOUNTAIN EVENTS LLC,LLC,MT,408 ORDWAY ST,WILSALL,NULL,NULL,105 W CLARK ST.,WILSALL,NULL,C184695
1640 S.W. 11 STREET LLC,LLC,MT,960 ERICKSON ROAD,HELENA,NULL,NULL,NULL,NULL,NULL,C255930
H.O.W. GROUP,CORPORATION,MT,10 GALLATIN DR #A,BOZEMAN,NULL,NULL,NULL,NULL,NULL,D209534
STREET MT LLC,LLC,MT,70 HITCHING POST RD,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1137406
S&S FITNESS CONSULTING LLC,LLC,MT,304 STONERIDGE DR,KALISPELL,NULL,NULL,304 STONERIDGE DR,KALISPELL,NULL,C1021424
"PLYMALE AUTO REPAIR, INC.",CORPORATION,MT,3201 A HWY 78,ABSAROKEE,NULL,NULL,3201 A HWY 78,KENT PLYMALE ABSAROKEE,NULL,D277999
2016 S. 13W LLC,LLC,MT,960 ERICKSON ROAD,HELENA,NULL,NULL,NULL,NULL,NULL,C255929
"KURT'S OFFROAD, LLC",LLC,MT,797 TAMARACK DR,SEELEY LAKE,NULL,NULL,3181 HWY 83,SEELEY LAKE,NULL,C276690
"BRYAN LOUDEN INSURANCE AGENCY, LLC",LLC,MT,"1225 BIRCH ST, SUITE A",HELENA,NULL,NULL,1225 BIRCH ST STE A,BRYAN LOUDEN HELENA,NULL,C1026610
TNT AUTO PARTS,CORPORATION,MT,110 CENTER AVE,EUREKA,NULL,NULL,1020 1ST AVE E,EUREKA,NULL,D043599
FRIENDS OF THE LEWISTOWN PUBLIC LIBRARY,CORPORATION,MT,108 SNOWY MOUNTAIN DR.,LEWISTOWN,NULL,NULL,701 W MAIN STREET,LEWISTOWN,NULL,D170090
"STATE CAPITAL BAND OF HELENA, MONTANA, INC.",CORPORATION,MT,237 GREENWOOD DRIVE,HELENA,NULL,NULL,NULL,NULL,NULL,D032503
GRIZ LLC,LLC,MT,1240 GREENOUGH DRIVE,MISSOULA,NULL,NULL,1240 GREENOUGH DRIVE,MISSOULA,NULL,E1150455
"JOE RHODES ENTERPRISES, INC.",CORPORATION,MT,1721 MAURINE ST,BILLINGS,NULL,NULL,1721 MAURINE STREET,BILLINGS,NULL,D143920
DYNAMYTE AQUISITIONS LLC,LLC,MT,110 CENTRAL AVE,EUREKA,NULL,NULL,NULL,NULL,NULL,C279171
JOY CONSTRUCTION OF MONTANA LLC,LLC,MT,38 EAGLE MOUNTAIN WAY,KILA,NULL,NULL,NULL,NULL,NULL,C1150456
ADS SERVICES LLC,LLC,MT,401 SOUTH MADISON STEET,TWIN BRIDGES,NULL,NULL,401 SOUTH MADISON STREET,TWIN BRIDGES,NULL,C1040361
"SAMMONS ADVENTURES, LLC",LLC,MT,1004 2ND AVE,E GLACIER PK,NULL,NULL,1004 2ND AVENUE EAST,GLACIER PARK,NULL,C147584
"THE PHILIPSBURG ARTS FUND, INC.",CORPORATION,MT,718 CALEDONIA LANE,PHILIPSBURG,NULL,NULL,718 CALEDONIA LANE,PHILIPSBURG,NULL,D163221
"8330 HUFFINE, LLC",LLC,MT,418 SOUTH 15TH AVENUE,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C222047
"AMSDEN, L.L.C.",LLC,MT,74 PUMPKIN CREEK RD,VOLBORG,NULL,NULL,NULL,NULL,NULL,C096551
"BAR KEEPER, LLC",LLC,MT,"2000 SOUTH 3RD AVENUE, SUITE A",BOZEMAN,NULL,NULL,321 E MAIN ST UNIT 1E,BOZEMAN,NULL,C146478
BIG SKY FILM INSTITUTE,CORPORATION,MT,216 W MAIN STREET STUDIO 7,MISSOULA,NULL,NULL,216 W MAIN STREET STUDIO 7,MISSOULA,NULL,D138121
"FOWLER PLACE, LLC",LLC,MT,418 SOUTH 15TH AVENUE,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C271684
"MEDIA MANAGEMENT ASSOCIATION, INC.",CORPORATION,MT,136 1ST AVE W,KALISPELL,NULL,NULL,595 ROCKY ROAD,EUREKA,NULL,D231408
MILES ENTERPRISES LLC,LLC,MT,56 FIELDCROSS LN,HELENA,NULL,NULL,2017 N SYRINGA DRIVE,COEUR D'ALENE,NULL,C1112095
"GOLDEN RJ, LLC",LLC,MT,1946 STADIUM DRIVE SUITE 3,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1132342
J2 WEED CONTROL INCORPORATED,CORPORATION,MT,109 ARABIAN LN,DILLON,NULL,NULL,109 ARABIAN LN,DILLON,NULL,D123123
"GRIFFITH MANAGEMENT, LLC",LLC,MT,45 GLORIA COURT,BOZEMAN,NULL,NULL,45 GLORIA COURT,BOZEMAN,NULL,C272843
"GZC, LLC",LLC,MT,45 GLORIA COURT,BOZEMAN,NULL,NULL,321 E MAIN STREET,UNIT BA BOZEMAN,NULL,C1132405
"OLIVE STREET, LLC",LLC,MT,418 SOUTH 15TH AVENUE,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C179220
"MERE IMAGES.ORG, INC.",CORPORATION,OH,479 WRENCROFT CT.,LEBANON,NULL,NULL,4000 BROADWATER CT.,BOZEMAN,59718,D120983
"OS-HUFFINE, LLC",LLC,MT,418 SOUTH 15TH AVENUE,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C228700
"SAUNDERS BAR, LLC",LLC,MT,301 SUNSET BLVD,BOZEMAN,NULL,NULL,321 EAST MAIN STREET UNIT 1E,BOZEMAN,NULL,C1072480
"MCVEDA CONSTRUCTION, INC.",CORPORATION,MT,9 MEADOWS LOOP,GREAT FALLS,NULL,NULL,9 MEADOWS LOOP,GREAT FALLS,59404,D232977
MERIWETHER FIELD GEAR LLC,LLC,MT,115 CENTRAL AVE.,WHITEFISH,NULL,NULL,115 CENTRAL AVE,WHITEFISH,NULL,C226866
"DARCY MINTER COMMUNICATIONS, LLC",LLC,MT,3477 JOHNSON ROAD,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1073602
"MONTANA AVENUE CAR WASH, INC.",CORPORATION,MT,1210 ORANGE AVE,HELENA,NULL,NULL,1210 ORANGE AVE,HELENA,NULL,D272463
GREAT NORTHERN METAL COMPANY LLC,LLC,MT,"242 DURSTON, STE. B",BOZEMAN,NULL,NULL,242 DURSTON STE B,BOZEMAN,NULL,C1127241
"MOONSTRUCK, INC.",CORPORATION,MT,4712 RIMROCK ROAD,BILLINGS,NULL,NULL,4712 RIMROCK ROAD,BILLINGS,NULL,D224785
SWEET GRASS COUNTY SHERIFF'S POSSE,CORPORATION,MT,200 W 1ST AVE,BIG TIMBER,NULL,NULL,200 W 1ST AVE,BIG TIMBER,NULL,D035058
"JMD LEASING, LLC",LLC,MT,1210 ORANGE AVE,HELENA,NULL,NULL,NULL,NULL,NULL,E034160
"1210 ORANGE AVENUE, LLC",LLC,MT,1210 ORANGE AVE,HELENA,NULL,NULL,NULL,NULL,NULL,E034161
"STRIX, LLC",LLC,MT,140 MISTY WAY,BIG SKY,NULL,NULL,NULL,NULL,NULL,E067033
"PICARD CHIROPRACTIC CLINIC, INC",CORPORATION,MT,1030 S 24TH ST W,BILLINGS,NULL,NULL,2820 CENTRAL AVE SUITE D,BILLINGS,NULL,D224202
TOBACCO ROOT GEOLOGICAL SOCIETY,CORPORATION,MT,60 WEST GALENA,BUTTE,NULL,NULL,NULL,NULL,NULL,D045007
"PICARD REAL ESTATE, LLC",LLC,MT,1690 RIMROCK RD,BILLINGS,NULL,NULL,NULL,NULL,NULL,C256489
HUMMINGBIRD ACCOUNTING INC.,CORPORATION,MT,3605 FASSETT DR APT 3,MISSOULA,NULL,NULL,3605 FASSETT DR APT 3,MISSOULA,NULL,D222673
"TBI BROKERS, INC.",CORPORATION,MT,"211 E MAIN STREET, SUITE C",BOZEMAN,NULL,NULL,"211 E MAIN STREET, SUITE C",BOZEMAN,NULL,F071460
PARK COUNTY CONCERNED CITIZENS,CORPORATION,MT,3 MARTIN WAY,LIVINGSTON,NULL,NULL,NULL,NULL,NULL,D131178
MALLARD SPRINGS OWNERS' ASSOCIATION,CORPORATION,MT,7 WEST TEAL,BIG TIMBER,NULL,NULL,NULL,NULL,NULL,D043175
HOLLZ LLC,LLC,MT,"2710 STATE ST, SUITE 408",BUTTE,NULL,NULL,2710 STATE STREET,PAT DAVISON BUTTE,59701,C1088087
"WALTER FAMILY, LLC",LLC,MT,6828 FREY ROAD,SHEPHERD,NULL,NULL,NULL,NULL,NULL,C228196
"MCFARLOVICH, LLC",LLC,MT,2445 SOUTH 3RD STREET WEST,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1064173
SALT OF THE ART LLC,LLC,MT,951 WHITE PEAKS DR,STEVENSVILLE,NULL,NULL,NULL,NULL,NULL,C1123888
LWK ASSOCIATES OF MONTANA LLC,LLC,MT,1810 HARRISON,BUTTE,NULL,NULL,NULL,NULL,NULL,C230854
"REESE AND RAY'S MANAGEMENT, INC.",CORPORATION,MT,901 N CENTER AVE,HARDIN,NULL,NULL,205 S 1ST AVE,LAUREL,NULL,D201227
"DANIEL MCFARLAND, DDS, P.C.",CORPORATION,MT,2445 SOUTH 3RD STREET WEST,MISSOULA,NULL,NULL,2445 S 3RD ST,W MISSOULA,NULL,D1064165
BENTLEYS BONANZA LLC,LLC,MT,139 MCLEOD ST,BIG TIMBER,NULL,NULL,NULL,NULL,NULL,C254428
"MILLS FAMILY INVESTMENTS, LLC",LLC,MT,1234 BEAR CANYON ROAD,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C264698
CTD BUILDING LLC,LLC,MT,139 MCLEOD,BIG TIMBER,NULL,NULL,NULL,NULL,NULL,C254437
CAREER TRAINING INSTITUTE,CORPORATION,MT,347 N LAST CHANCE GULCH,HELENA,NULL,NULL,NULL,NULL,NULL,D057138
ALPINE DIRT WORKS LLC,LLC,MT,2976 FANTASY RD,HELENA,59602,NULL,2976 FANTASY RD,HELENA,NULL,C1135636
BIG BROTHERS BIG SISTERS NW MONTANA,CORPORATION,MT,137 S MAIN STREET,KALISPELL,NULL,NULL,137 MAIN STREET,KALISPELL,NULL,D046000
"RENT-A-CAR, INC.",CORPORATION,MT,"BILLINGS INT'L AIRPORT, 1901 TERMINAL CIRCLE","HERTZ RENT-A-CAR, BILLINGS",NULL,NULL,2805 WASHINGTON BLVD.,OGDEN,NULL,D026193
"KG CONSTRUCTION, LLC",LLC,MT,812 ADVANCE DRIVE,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1085833
THE WHITEHALL CHURCH OF CHRIST,CORPORATION,MT,410 LEGION STREET,WHITEHALL,NULL,NULL,NULL,NULL,NULL,D258965
NORTH MILLTOWN WATER USERS ASSOCIATION,CORPORATION,MT,207 ANACONDA,MILLTOWN,NULL,NULL,NULL,NULL,NULL,D279041
BIG SKY AVIATION CONSULTING L.L.C.,LLC,MT,3 NORTH FORK BEAR CREEK RD,CAMERON,NULL,NULL,3 NORTH FORK BEAR CREEK ROAD,CAMERON,NULL,C199512
"MSL- BUTTE VA CLINIC, LLC",LLC,MT,700 BLACKTAIL LOOP,BUTTE,NULL,NULL,NULL,NULL,NULL,C1150472
VINCENT ZETOONEY LLC,LLC,MT,"750 2ND STREET W, SUITE G",WHITEFISH,NULL,NULL,NULL,NULL,NULL,C1135604
CANDLE CREEK RANCH & LIVESTOCK COMPANY L.L.C.,LLC,MT,3 NORTH FORK BEAR CREEK RD,CAMERON,NULL,NULL,NULL,NULL,NULL,C217343
"NW INSURANCE BROKERS, INC",CORPORATION,MT,407 E KING ST,EAST HELENA,NULL,NULL,1860 N LAKES PLACE,MERIDIAN,NULL,F1106996
HELENA HOCKEY INC,CORPORATION,MT,75 PARK DRIVE,CLANCY,NULL,NULL,NULL,NULL,NULL,D172330
"RENTAL CARS, INC.",CORPORATION,MT,"BILLINGS INT'L AIRPORT, 1901 TERMINAL CIRCLE","HERTZ RENT-A-CAR, BILLINGS",NULL,NULL,2805 WASHINGTON BLVD.,OGDEN,NULL,D018672
"EAGLE'S NEST FINANCIAL, LLC",LLC,MT,2 HOLLOWTOP MOUNTAIN CT,ENNIS,NULL,NULL,19 NOACK ROAD,ENNIS,NULL,C272189
"LONE MOUNTAIN PAPER & PAINT, LLC",LLC,MT,880 DOANE ROAD,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C225382
"SPRING COULEE FARMS, INC.",CORPORATION,MT,410 3RD AVE,HAVRE,NULL,NULL,28248 ROAD 80 N.,KREMLIN,NULL,D077733
"OVERLAND WEST, INC.",CORPORATION,MT,"BILLINGS INT'L AIRPORT, 1901 TERMINAL CIRCLE","HERTZ RENT-A-CAR, BILLINGS",NULL,NULL,2805 WASHINGTON BLVD.,OGDEN,NULL,F018798
ASG HOLDINGS LLC,LLC,MT,8935 LONGMEADOW DR,BILLINGS,NULL,NULL,NULL,NULL,NULL,C1109491
ALPINE HEATING & COOLING LLC,LLC,MT,2976 FANTASY RD,HELENA,59602,NULL,2976 FANTASY RD,HELENA,NULL,C164380
"OUTLAW REAL ESTATE PARTNERS, LLC",LLC,MT,11 LONE PEAK DR STE 201,BIG SKY,NULL,NULL,NULL,NULL,NULL,E1150476
S & S CANOPIES & CAMPERS MFG. INC.,CORPORATION,MT,2740 HWY 93 S,KALISPELL,NULL,NULL,2740 HWY 93 SOUTH,KALISPELL,NULL,D042472
"HOME 40 HOMEOWNERS' ASSOCIATION, INC.",CORPORATION,MT,2504 W MAIN ST SUITE 2B,BOZEMAN,NULL,NULL,NULL,NULL,NULL,D1081945
ALPINE HOMES LLC,LLC,MT,2976 FANTASY RD,HELENA,59602,NULL,2976 FANTASY RD,HELENA,NULL,C244525
REED ELECTRIC P.L.L.C.,LLC,MT,5374 FLATHEAD DR,FLORENCE,NULL,NULL,NULL,NULL,NULL,C249509
"ICONOCLAST, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1135708
"INN ON THE BLACKFOOT RIVER, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1088266
"AFFINITY AT BILLINGS, LLC",LLC,MT,430 RYMAN ST,MISSOULA,NULL,NULL,NULL,NULL,NULL,E076728
"46C ALPENGLOW TRAIL, LLC",LLC,MT,26 EAST MENDENHALL,BOZEMAN,59771,NULL,NULL,NULL,NULL,E1150477
"GLACIER PARK SKI TOURS, LLC",LLC,MT,1306 3RD AVENUE WEST,COLUMBIA FALLS,NULL,NULL,NULL,NULL,NULL,C162588
"SENTINEL MECHANICAL, LLC",LLC,MT,3635 W BROADWAY,MISSOULA,59806,NULL,3635 W BROADWAY,MISSOULA,NULL,C1127177
"INTUITIVE HEALTH, INC.",CORPORATION,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,2206 MIDDLE BEAR CREEK ROAD,VICTOR,NULL,D1066080
"JANUS HOLDINGS, L.L.C.",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C217485
TONYA DAVIDSON GROUP LLC,LLC,MT,910 BANDMANN TRAIL,MISSOULA,NULL,NULL,NULL,NULL,NULL,E1128369
"JARED LEWIS TRUCKING, INC.",CORPORATION,MT,CENTRAL SQUARE BUILDING,MISSOULA,NULL,NULL,430 VINE AVE,WOODBURN,NULL,D213414
"JPJ PARTNERS, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C264225
ANACONDA 1 RE2 LLC,LLC,MT,600 S MAIN ST.,BUTTE,NULL,NULL,NULL,NULL,NULL,C1150478
"J&R PLANING, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1102806
"LINKS MANAGEMENT, INC.",CORPORATION,MT,111 BAYVIEW DR,POLSON,NULL,NULL,111 BAYVIEW DRIVE,POLSON,NULL,D072806
"NISSEN HOLDINGS, INC.",CORPORATION,MT,1010 JENSEN RD,COLUMBIA FALLS,59912,NULL,1010 JENSEN ROAD,COLUMBIA FALLS,NULL,D1022797
"KOOTENAI COMPLEX OWNER'S ASSOCIATION, LLC",LLC,MT,806 W 9TH,LIBBY,NULL,NULL,806 W. 9TH STREET,LIBBY,NULL,C1020158
MCB REAL ESTATE LLC,LLC,MT,620 HIGH PARK WAY,MISSOULA,59806,NULL,NULL,NULL,NULL,C1085035
"NISSEN PROPERTIES, LLC",LLC,MT,1010 JENSEN RD,COLUMBIA FALLS,59912,NULL,1010 JENSEN ROAD,COLUMBIA FALLS,NULL,C1022777
EB RANCH,CORPORATION,MT,MOOREHEAD RD,BROADUS,NULL,NULL,94 MOORHEAD RD.,BROADUS,59317,D031874
"GREAT FALLS LABOR TEMPLE ASSOCIATION, INC.",CORPORATION,MT,1112 - 7TH STREET SOUTH SUITE 206,GREAT FALLS,NULL,NULL,1112 7TH STREET SOUTH SUITE 206,BRIAN BOLAND GREAT FALLS,59405,D025007
"JS IRONWORKS, L.L.C.",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C274870
"MUDDY CREEK TRUSS, L.L.C.",LLC,MT,560 4TH LN NE,FAIRFIELD,NULL,NULL,622 4TH LN NW,FAIRFIELD,NULL,C132543
CHURCH OF THE OPEN BIBLE,CORPORATION,MT,802 WEST DIVISION,HARDIN,NULL,NULL,802 W. DIVISION,HARDIN,NULL,D026666
"RML BROKER SERVICE, INC.",CORPORATION,MT,215 MARCUST STREET,HAMILTON,NULL,NULL,101 PARK DRIVE,HAMILTON,NULL,D1057548
"JUMP MISSOULA, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,E1061689
"JUMP OTTAWA, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,E080013
"SCOTT PRODUCTS, LLC",LLC,MT,1582 IOWA FLATS ROAD,EUREKA,NULL,NULL,NULL,NULL,NULL,C179461
POLAR DEPTH STUDIOS LLC,LLC,MT,1137 ASPEN LN,KALISPELL,NULL,NULL,NULL,NULL,NULL,C1114851
"SPACEAGE CERAMICS, LLC",LLC,MT,192 KURTZ LANE,HAMILTON,NULL,NULL,192 KURTZ LANE,HAMILTON,NULL,C247341
MONTANA CONSTRUCTION MANAGERS CORP.,CORPORATION,MT,1444 PARKHILL DR,BILLINGS,NULL,NULL,1444 PARKHILL DR,BILLINGS,NULL,D1150481
BLUE CREEK SPORT SHOOTING COMPLEX INC.,CORPORATION,MT,1107 GOLF COURSE RD,LAUREL,NULL,NULL,9015 QUEST AVE,BILLINGS,NULL,D246960
"JUNIPER CAPITAL, INC.",CORPORATION,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,22500 SE 64TH PLACE BUILDING G SUITE 230,ISSAQUAH,NULL,D1108373
"THE ARENA AT LOLO CREEK, LLC",LLC,MT,7518 HIGHWAY 12 WEST,LOLO,NULL,NULL,NULL,NULL,NULL,C237159
"K.O. ENTERPRISES, L.L.C.",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C197263
"BROWNING, KALECZYC, BERRY & HOVEN, P.C.",CORPORATION,MT,"800 NORTH LAST CHANCE GULCH, STE. 101",HELENA,NULL,NULL,"800 NORTH LAST CHANCE GUL, STE. 101",HELENA,NULL,D060932
"TRAPPER PEAK WINERY, LLC",LLC,MT,75 CATTAIL LANE,DARBY,NULL,NULL,NULL,NULL,NULL,C192365
"KECK RENTALS, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1067644
"KIKI MACE, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C242468
PATAGONIA COURT HOMEOWNERS ASSOCIATION,CORPORATION,MT,525 ST JOHNS AVE SUITE A,BILLINGS,59103,NULL,NULL,NULL,NULL,D1066316
"KIMERLY REAL ESTATE HOLDINGS, LLC",LLC,MT,622 KENTUCKY STREET,DEER LODGE,NULL,NULL,NULL,NULL,NULL,C1080248
"TROXEL PLUMBING AND HEATING, LLC",LLC,MT,260 MARTYN RD,CORVALLIS,NULL,NULL,NULL,NULL,NULL,C225652
"KONA HOMES, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1121801
"SUMMA WELLNESS, LLC",LLC,MT,9848,SHEPHERD,NULL,NULL,NULL,NULL,NULL,C1104458
"KRW REAL ESTATE INVESTMENTS, L.L.C.",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C218543
"LAMBROS FARRAN APARTMENTS, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C278921
LIVINGSTON ALOHA MOBILE VETERINARY CARE LLC,LLC,MT,"117 S MAIN ST, APT B2",LIVINGSTON,NULL,NULL,216 S E ST,LIVINGSTON,NULL,C1111423
MONTANA REALTY COMPANY OF RED LODGE LLC,LLC,MT,12 N BROADWAY,RED LODGE,NULL,NULL,12 NORTH BROADWAY AVE.,RED LODGE,NULL,C136725
"VIXEN OF WEST VIRIGINA, LLC KNOWN IN MONTANA AS VIXEN OF MONTANA, LLC",LLC,MT,119 NORTH BROADWAY,RED LODGE,NULL,NULL,NULL,NULL,NULL,E1138224
"LIBBY MCINTYRE, LCSW, ACSW, PLLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,2112 DIXON AVENUE,MISSOULA,NULL,C151213
"LIMITLESS HOLDINGS, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1100312
VIKING PROPERTIES LLC,LLC,MT,1137 ASPEN LN,KALISPELL,NULL,NULL,NULL,NULL,NULL,C1043018
"RMG HOLDINGS, LLC",LLC,MT,1095 BACK BAY DR,BILLINGS,NULL,NULL,NULL,NULL,NULL,C255210
"LIQUID PLANET GROUNDS, LLC",LLC,MT,221 N HIGGINS AVE,MISSOULA,59802,NULL,NULL,NULL,NULL,C279750
"LOCKHART RESTAURANT GROUP, LLC",LLC,MT,201 W. MAIN,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1076550
"LOG TO LIVINGROOM, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1054268
S&S TYC LLC,LLC,MT,12 N BROADWAY,RED LODGE,NULL,NULL,12 NORTH BROADWAY AVE.,RED LODGE,NULL,C219122
4MT HOME SERVICES LLC,LLC,MT,480 MACGREGOR ROAD,BELGRADE,NULL,NULL,1104 WEST PARK AVENUE,BELGRADE,NULL,C1120135
"LONGHORN HOLDINGS, LLC",LLC,MT,146 BEER CAN ALLEY ROAD,WIBAUX,NULL,NULL,NULL,NULL,NULL,C1023734
THE BLUE ROCK COMPANIES,CORPORATION,MT,530 5TH ST SE,SIDNEY,NULL,NULL,530 5TH ST SE,SIDNEY,NULL,D053521
"LONGHORN INVESTMENTS, INC.",CORPORATION,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,201 W. MAIN STREET SUITE 201,MISSOULA,NULL,D1030225
"LONGHORN REAL ESTATE, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1072403
ANACONDA 2 RE2 LLC,LLC,MT,600 S MAIN ST.,BUTTE,NULL,NULL,NULL,NULL,NULL,C1150485
"BROWN PROPERTY MANAGEMENT, LLC",LLC,MT,275 VIGILANTE TRL,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1119802
MONTANA PHARMACY ASSOCIATION,CORPORATION,MT,7 WEST 6TH AVE STE 41 59601,HELENA,NULL,NULL,"7 WEST 6TH AVENUE, STE 4M",HELENA,NULL,D019188
BLUE ROCK DISTRIBUTING COMPANY,CORPORATION,MT,530 5TH ST SE,SIDNEY,NULL,NULL,530 5TH ST SE,SIDNEY,NULL,D068778
"BLB INVESTMENTS, LLC",LLC,MT,307 SO HAGGIN AVE,RED LODGE,NULL,NULL,NULL,NULL,NULL,C155645
"ED'S FLYING SERVICE, INC.",CORPORATION,MT,MELTON ROAD,DENTON,NULL,NULL,697 MELTON ROAD,DENTON,NULL,D079561
"PARTNERS IN PEDIATRICS, P.C.",CORPORATION,MT,2525 BROADWAY STE 201,HELENA,NULL,NULL,2525 BROADWAY STE 201,HELENA,NULL,D126675
"LOWLIGHTBEACH, LLC",LLC,MT,201 WEST MAIN STREET SUITE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C255472
"DR & MR INVESTMENTS, LLC",LLC,MT,12 N BROADWAY,RED LODGE,NULL,NULL,2518 WHITTIER PL,BILLINGS,NULL,C247910
"LRW AVIATION, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C156088
"LIQUID ASSETS OF MONTANA, INC.",CORPORATION,MT,303 9TH ST SE,SIDNEY,NULL,NULL,303 9TH ST SE,SIDNEY,NULL,D163623
ARTISAN MEAT AND CHEESE LLC,LLC,MT,203 S CHURCH AVE,BOZEMAN,59715,NULL,203 S. CHURCH AVE.,BOZEMAN,NULL,C214842
"LYMAN DUST CONTROL, INC.",CORPORATION,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,201 W MAIN ST,MISSOULA,NULL,D070743
BIG SKY FARM MUTUAL INSURANCE COMPANY,CORPORATION,MT,324 EAST BABCOCK ST.,BOZEMAN,NULL,NULL,234 EAST BABCOCK SUITE F,BOZEMAN,NULL,D030939
MFROSS LLC,LLC,MT,908 S. GRAND AVE.,BOZEMAN,NULL,NULL,NULL,NULL,NULL,C1036785
"MAB, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1118296
BELGRADE 4 RE2 LLC,LLC,MT,600 S MAIN ST.,BUTTE,NULL,NULL,NULL,NULL,NULL,C1150487
MAYFLOWER MINING COMPANY,CORPORATION,MT,201 W. MAIN ST. #201,MISSOULA,NULL,NULL,1112 W. MAIN STREET SUITE 101,BOISE,83702,D010699
"ROBERT J. SAVAGE, P.C.",CORPORATION,MT,1010 WEST MAIN,SIDNEY,NULL,NULL,116 3RD AVE. SW,SIDNEY,NULL,D072033
"MCANN PROPERTIES MANAGEMENT, L.L.C.",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C093905
R & J BARD LLC,LLC,MT,5175 GARNET DR,HELENA,NULL,NULL,NULL,NULL,NULL,C234554
"JACO FARMS, LLC",LLC,MT,697 MELTON RD,DENTON,NULL,NULL,NULL,NULL,NULL,C1031829
"FAIRFIELD CHAMBER OF COMMERCE, INC.",CORPORATION,MT,324 CENTRAL AVE,FAIRFIELD,NULL,NULL,NULL,NULL,NULL,D165090
"MEND ACUPUNCTURE, P.C.",CORPORATION,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,155 MILL TOWN LOOP UNIT 2D,BOZEMAN,NULL,D1139414
"ANGELA SEGRAVES, LLC",LLC,MT,227 S 3RD ST,LIVINGSTON,NULL,NULL,NULL,NULL,NULL,C1110782
"MILLER BOYZ, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C247833
"MISSOULA EQUINE, INC.",CORPORATION,MT,201 W. MAIN,MISSOULA,NULL,NULL,4414 DESCHAMPS LANE,MISSOULA,NULL,D1089912
"MISSOULA PREP SPORTS NETWORK, LLC",LLC,MT,201 W MAIN ST STE 201,MISSOULA,NULL,NULL,NULL,NULL,NULL,C1073360
