name,city,state,address,district
IDEA RUNDBERG COLLEGE PREPARATORY,AUSTIN,TX,,IDEA PUBLIC SCHOOLS
IDEA EASTSIDE COLLEGE PREPARATORY,SAN ANTONIO,TX,,IDEA PUBLIC SCHOOLS
IDEA EASTSIDE ACADEMY,SAN ANTONIO,TX,,IDEA PUBLIC SCHOOLS
CEDARS ACADEMY NEXT GENERATION HIGH SCHOOL AT HIGHLAND,AUSTIN,TX,,CEDARS INTERNATIONAL ACADEMY
IDEA NORTH MISSION COLLEGE PREPARATORY,MISSION,TX,,IDEA PUBLIC SCHOOLS
HARMONY SCHOOL OF ACHIEVEMENT - HOUSTON,HOUSTON,TX,,HARMONY SCHOOL OF EXCELLENCE
HARMONY SCIENCE ACADEMY - CARROLLTON,CARROLTON,TX,,HARMONY SCIENCE ACAD (WACO)
NEWMAN INTERNATIONAL AT CEDAR HILL,CEDAR HILL,TX,,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON
THE RHODES SCHOOL - SOUTHEAST,CHANNELVIEW,TX,,THE RHODES SCHOOL
INTERNATIONAL LEADERSHIP OF TEXAS ES-GRAND PRAIRIE,GRAND PRAIRIE,TX,,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
GREAT HEARTS IRVING,IRVING,TX,,GREAT HEARTS TEXAS
INTERNATIONAL LEADERSHIP OF TEXAS MS-WESTPARK,HOUSTON,TX,,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
INT'L LEADERSHIP OF TEXAS MS-N RICHLAND HILLS,N RICHLAND HILLS,TX,,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
MCNUTT EL,ARLINGTON,TX,,ARLINGTON INDEPENDENT SCHOOL DISTRICT
MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL (H),MANCHESTER,NH,,MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL
JONES FINE ARTS / DUAL LANGUAGE ACADEMY,ARLINGTON,TX,,ARLINGTON INDEPENDENT SCHOOL DISTRICT
POLARIS CHARTER SCHOOL,MANCHESTER,NH,,POLARIS CHARTER SCHOOL
VINCENT MIDDLE,BEAUMONT,TX,,BEAUMONT INDEPENDENT SCHOOL DISTRICT
DOVES,BORDENTOWN,NJ,,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION
STEAM MIDDLE,BURLESON,TX,,BURLESON INDEPENDENT SCHOOL DISTRICT
COLLINSVILLE EL,COLLINSVILLE,TX,,COLLINSVILLE INDEPENDENT SCHOOL DISTRICT
CONNALLY EARLY CHILDHOOD CENTER,WACO,TX,,CONNALLY INDEPENDENT SCHOOL DISTRICT
SPECIAL PROG CTR/J J A E P,MCKINNEY,TX,,ANNA INDEPENDENT SCHOOL DISTRICT
GRANT MIDDLE,CORPUS CHRISTI,TX,,CORPORATIONUS CHRISTI ISD
FORT BEND CO ALTER,ROSHARON,TX,,FORT BEND INDEPENDENT SCHOOL DISTRICT
TAOS INTERNATIONAL SCHOOL,TAOS,NM,,TAOS INTERNATIONAL SCHOOL
D A HULCY STEAM MIDDLE,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
N W HARLLEE EARLY CHILDHOOD CENTER,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
ARLINGTON PARK EARLY CHILDHOOD CENTER,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
CATHERINE BELL EL,LITTLE ELM,TX,,DENTON INDEPENDENT SCHOOL DISTRICT
HIGHLAND ELEMENTARY,BURLINGTON,NC,,ALAMANCE-BURLINGTON SCHOOLS
WOODS CHARTER,CHAPEL HILL,NC,,WOODS CHARTER SCHOOL
PREK PARTNERSHIP CENTER,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
LOUIS G LOBIT EL,LEAGUE CITY,TX,,DICKINSON INDEPENDENT SCHOOL DISTRICT
ELVA C LOBIT MIDDLE,LEAGUE CITY,TX,,DICKINSON INDEPENDENT SCHOOL DISTRICT
A P SOLIS MIDDLE,DONNA,TX,,DONNA INDEPENDENT SCHOOL DISTRICT
NORTH PLAINS OPPORTUNITY CENTER,DUMAS,TX,,DUMAS INDEPENDENT SCHOOL DISTRICT
DOZIER EL,FORT WORTH,TX,,EAGLE MT-SAGINAW INDEPENDENT SCHOOL DISTRICT
ECTOR CO YOUTH CTR,ODESSA,TX,,ECTOR COUNTY INDEPENDENT SCHOOL DISTRICT
THE FRANKLIN SCHOOL OF INNOVATION,ASHEVILLE,NC,,THE FRANKLIN SCHOOL OF INNOVATION
IM TERRELL ACADEMY FOR STEM AND VPA,FORT WORTH,TX,,FORT WORTH INDEPENDENT SCHOOL DISTRICT
VAUGHN EL,FRISCO,TX,,FRISCO INDEPENDENT SCHOOL DISTRICT
CAMDEN INTERMEDIATE,CAMDEN,NC,,CAMDEN COUNTY SCHOOLS
MACON EARLY COLLEGE HIGH SCHOOL,FRANKLIN,NC,,MACON COUNTY SCHOOLS
JAMES PATTERSON EL,RICHMOND,TX,,FORT BEND INDEPENDENT SCHOOL DISTRICT
IMAGINE HILL AVENUE,TOLEDO,OH,,IMAGINE ENVIRONMENTAL SCIENCE ACADEMY
COOLVILLE ELEMENTARY SCHOOL,COOLVILLE,OH,,FEDERAL HOCKING LOCAL
MILLER EL,LITTLE ELM,TX,,FRISCO INDEPENDENT SCHOOL DISTRICT
VERNAL LISTER EL,GARLAND,TX,,GARLAND INDEPENDENT SCHOOL DISTRICT
FLORESVILLE ALTERNATIVE CENTER,FLORESVILLE,TX,,GONZALES INDEPENDENT SCHOOL DISTRICT
UPLIFT LEE,GRAND PRAIRIE,TX,,GRAND PRAIRIE INDEPENDENT SCHOOL DISTRICT
HCC LIFE SKILLS PROGRAM,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
PROJECT CHRYSALIS MIDDLE,HOUSTON,TX,,HOUSTON INDEPENDENT SCHOOL DISTRICT
FORT TOTTEN SPEC ED UNIT,FORT TOTTEN,ND,,FT TOTTEN SPECIAL ED UNIT
TUSCARAWAS VALLEY INTERMEDIATE,BOLIVAR,OH,,TUSCARAWAS VALLEY LOCAL
QUEST EARLY COLLEGE H S,HUMBLE,TX,,HUMBLE INDEPENDENT SCHOOL DISTRICT
EL #29,HUMBLE,TX,,HUMBLE INDEPENDENT SCHOOL DISTRICT
MIDDLE #10,HUMBLE,TX,,HUMBLE INDEPENDENT SCHOOL DISTRICT
LYNDON B JOHNSON EL,JOHNSON CITY,TX,,JOHNSON CITY INDEPENDENT SCHOOL DISTRICT
TAYS J H,KATY,TX,,KATY INDEPENDENT SCHOOL DISTRICT
