total,id,snapshot_date,source_url
842,STABS3a8c33e03053b282,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
124,STABSb1427537aac4d1fd,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
733,STABSfc5a06ae674e94b6,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
79,STABS9fbd9ec566847e1c,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
1645,STABSd576723657f2f73e,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
475,STABSa73423ef9309c8dd,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
50,STABSdf1c65bab69ded64,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
440,STABSf2b0f8a2a5c742d8,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
98,STABS5d237e65d4a04024,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
775,STABSe06035c4207ed7b8,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
1495,STABS3856e14263347972,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
742,STABS99c4b96435084a79,2021-12-31,https://doc.arkansas.gov/wp-content/uploads/2022/04/FY22-Division-of-Correction-Statistical-Information-Trends-changes-update-4-11-2022_1x.pdf
